round,alive_nodes,round_energy
907,100,0.0258428181910265
908,100,0.025262400284260467
909,100,0.025156240128167532
910,100,0.02473285317300239
911,100,0.0251980026103622
912,100,0.025573119931867585
913,100,0.024865939808681656
914,100,0.02550219556756203
915,100,0.024752003057070586
916,100,0.024504395040388503
917,100,0.025463078444858796
918,100,0.02576802884795401
919,100,0.024993645250300758
920,100,0.025149158897589487
921,100,0.025653829587048007
922,100,0.02547534461276313
923,100,0.025646197888670744
924,100,0.024776891396169252
925,100,0.025539567532221922
926,100,0.02552693110027246
927,100,0.025406755798686422
928,100,0.02531061976883942
929,100,0.02609687142313765
930,100,0.0252251805382598
931,100,0.02480981425232805
932,100,0.025117216088058072
933,100,0.025004314466006233
934,100,0.025351525530329762
935,100,0.02531674600864843
936,100,0.025244901970655265
937,100,0.025705834443578043
938,100,0.02526795089758347
939,100,0.025260047994160838
940,100,0.025463789875496173
941,100,0.02514064802309114
942,100,0.025759012838849578
943,100,0.025177998083035693
944,100,0.025169596570467644
945,100,0.024890270204579158
946,100,0.02543222305756742
947,100,0.024977991276881727
948,100,0.02564848069624577
949,100,0.025453580601786104
950,100,0.025763066176708267
951,100,0.02527160440909617
952,100,0.025339496531596308
953,100,0.02484552804811304
954,100,0.025365350562861478
955,100,0.025942582024684607
956,100,0.025187296805418872
957,100,0.02534375374044938
958,100,0.025414387165273878
959,100,0.02510986310133135
960,100,0.024995697817911017
961,100,0.025129215791049504
962,100,0.025410065792302462
963,100,0.025094600351113654
964,100,0.025470017070841212
965,100,0.025781774097415538
966,100,0.025526773227833074
967,100,0.025286143056703812
968,100,0.025588496946779817
969,100,0.025535404912379423
970,100,0.024805909654577435
971,100,0.025503513534705893
972,100,0.024812517011404862
973,100,0.0248867626612015
974,100,0.025143108705491
975,100,0.025596416864652142
976,100,0.02507205974737832
977,100,0.024855048666013096
978,100,0.025219880253430145
979,100,0.02550648543731352
980,100,0.025680213297304848
981,100,0.02518414503712862
982,100,0.025300658041866486
983,100,0.025674166659798228
984,100,0.02528310594875964
985,100,0.025330412387473817
986,100,0.02528961244293835
987,100,0.025758194271716175
988,100,0.025824738609075745
989,100,0.02490539969319596
990,100,0.02522637150633431
991,100,0.026087461676260106
992,100,0.02508060164096072
993,100,0.024810195404312087
994,100,0.025166953599858828
995,100,0.02564303252310476
996,100,0.02517985586937863
